SimulationID,Player1Hand,Player2Hand,GameStage,CommunityCards,P1Win_Map,P2Win_Map,Tie_Map,Time_Map,P1Win_Hash,P2Win_Hash,Tie_Hash,Time_Hash
750,"7c 4s ","10d 3h ",river,"5d Ks 8c Ah 10s ",0,100,0,3,0,100,0,3
751,"5h 6s ","As 3d ",preflop,"",37,61,2,2,43,55,2,3
752,"10s 2d ","10d 6c ",turn,"Jc 4d As 9h ",8,22,70,3,10,23,67,3
753,"4s Qc ","5d 6h ",preflop,"",52,45,3,3,59,41,0,3
754,"Js Kd ","4s 7s ",turn,"8d As Ah Kh ",100,0,0,2,100,0,0,3
755,"6h 5h ","Qs 4d ",flop,"10s Jh 8c ",26,73,1,3,28,71,1,3
756,"9h As ","7s 5s ",river,"Qs 4h Ah Jd 9c ",100,0,0,3,100,0,0,3
757,"3d 7s ","4h 5c ",flop,"5h 6c 6s ",25,75,0,3,34,65,1,3
758,"Ks Jd ","Js Ah ",flop,"9h Jh 3c ",15,78,7,3,10,87,3,3
759,"As 6h ","4c 5h ",preflop,"",58,41,1,2,69,31,0,3
760,"9d Kc ","2d Qs ",river,"4s 6c 5d Qc 3s ",0,100,0,2,0,100,0,3
761,"7d 10d ","6s 10c ",river,"As 8d 10s Js 5s ",0,100,0,3,0,100,0,3
762,"3c 7c ","5s 8d ",turn,"Ad 6h 4s 9s ",14,86,0,3,13,87,0,3
763,"10c 7c ","7h 4c ",turn,"Qh 3s 8d 5d ",82,18,0,3,78,22,0,3
764,"2c 7d ","5s 10s ",river,"8h 10h Kd Jh 10d ",0,100,0,2,0,100,0,3
765,"9d 10s ","3c 4d ",flop,"4h 9h 10c ",90,10,0,3,90,10,0,3
766,"8c 3d ","3h 6s ",flop,"10c Ks Ad ",57,11,32,2,59,12,29,3
767,"7d 5h ","10h 4h ",flop,"3h 3c Ah ",18,69,13,3,20,68,12,3
768,"Ah 3s ","Jd 5d ",preflop,"",53,46,1,2,71,28,1,3
769,"Qd 9h ","Qs Jd ",river,"2d Jh 3d 8d Jc ",0,100,0,2,0,100,0,3
770,"Kd 3h ","4s 5c ",turn,"Ad Ah 6d 9c ",79,17,4,3,84,13,3,3
771,"Qc 4s ","10h 8h ",turn,"5h 2c 3c 4c ",86,2,12,3,76,6,18,3
772,"Ad Jd ","9d 6h ",flop,"7s 8c Jh ",60,38,2,3,72,28,0,3
773,"2s 10c ","6h 4s ",turn,"4d Jh Ah 3d ",15,85,0,3,10,90,0,3
774,"Ac 10h ","4c Qc ",turn,"8c 5c 8s 3s ",65,32,3,3,69,29,2,3
775,"10h 7d ","3s 2s ",preflop,"",63,32,5,3,55,43,2,3
776,"4s Jd ","6c Ac ",river,"Jc 6d 4d Kd Ad ",100,0,0,3,100,0,0,3
777,"Ac 10h ","7h Kh ",river,"4s Kd Qs Ad 6h ",100,0,0,2,100,0,0,3
778,"8d 9s ","Kc 6d ",river,"Qd 9d 6s 4c 3c ",100,0,0,2,100,0,0,3
779,"Js 5h ","8c 2d ",turn,"10h 3c 7d 9c ",76,24,0,3,76,24,0,3
780,"4s 8s ","As Jh ",river,"Qd 9d 5h 5d Jd ",0,100,0,2,0,100,0,3
781,"7s 4h ","6d 10d ",preflop,"",39,58,3,2,29,67,4,3
782,"6c 6s ","7h 4d ",flop,"Ac 5h 5c ",89,11,0,2,90,10,0,3
783,"Ks Jd ","2c 3d ",flop,"Kd 3s 10c ",75,25,0,2,77,23,0,3
784,"2h Kd ","10s Qs ",turn,"8h Qd Qh 7s ",0,100,0,2,0,100,0,3
785,"Ks 9s ","8s 4c ",preflop,"",72,27,1,2,59,38,3,3
786,"Qh 9s ","As 9h ",turn,"4s 6h 7c 5c ",10,76,14,3,11,75,14,3
787,"8h Kh ","10h 9s ",river,"Qs 8c 6s 3d 6d ",100,0,0,3,100,0,0,3
788,"Ad 10d ","2d 6s ",preflop,"",66,33,1,2,69,30,1,3
789,"Jd 2s ","As 8d ",preflop,"",37,62,1,2,33,64,3,3
790,"Js 4d ","8c Jd ",turn,"Ah Ac 4s 6d ",82,11,7,3,86,8,6,3
791,"5h 6d ","10h Kh ",river,"4c 3d 3s 7c Jc ",100,0,0,2,100,0,0,2
792,"Ad 3s ","3d 9d ",turn,"2s 10c 5s 7c ",95,5,0,3,89,11,0,3
793,"3s Jh ","9s 5d ",flop,"5h Kc Ac ",19,81,0,3,15,85,0,3
794,"10c 3s ","6s Qc ",river,"9d 3c 4h 9s 6h ",0,100,0,3,0,100,0,3
795,"3h 10d ","2d 5s ",flop,"7c Qd Ac ",69,28,3,3,74,22,4,3
796,"7s 9s ","10c 6c ",preflop,"",39,59,2,3,45,53,2,3
797,"8c 3d ","6s 4s ",preflop,"",55,40,5,3,55,40,5,3
798,"3d Ks ","As 3s ",flop,"9d 8h 2s ",24,75,1,3,9,90,1,3
799,"8d 4c ","4h Ah ",river,"Kd 3s 3c Jc Ad ",0,100,0,3,0,100,0,3
800,"9s 5c ","Jd Kd ",flop,"5s As Qd ",59,41,0,3,58,42,0,3
801,"5d Kc ","5c 7h ",turn,"10c Jc 6d 8d ",74,26,0,3,78,22,0,3
802,"8d 7h ","3s 3c ",preflop,"",49,51,0,3,49,51,0,3
803,"7c 2c ","9s 6h ",flop,"Qh 10d Ah ",12,71,17,3,18,71,11,3
804,"7c 6s ","8h 8s ",flop,"Ac As 2d ",1,99,0,3,1,99,0,3
805,"8c Ah ","5c As ",flop,"Js 6s Ks ",32,43,25,3,20,50,30,3
806,"9s 7d ","3d 9c ",flop,"As 10d 7s ",93,1,6,3,95,0,5,3
807,"10c 9h ","Jd 7s ",turn,"6h 8h 9c 6c ",80,20,0,3,83,17,0,3
808,"5h 3d ","2s 6c ",flop,"7h 4c 3h ",90,9,1,3,86,14,0,3
809,"Jc 3s ","Ks 10c ",preflop,"",38,62,0,3,50,50,0,3
810,"Ad Js ","8c 5h ",river,"7c 3h 9d 8d Qh ",0,100,0,3,0,100,0,3
811,"2h Jh ","Ah Jd ",river,"Qs 3c 3s 5c 9c ",0,100,0,3,0,100,0,3
812,"4d 4s ","Qc Ac ",river,"9h 5c 5h Kc 7c ",0,100,0,3,0,100,0,3
813,"6s Kh ","8s Jc ",turn,"Ad 4c 3h Jh ",6,94,0,3,8,92,0,3
814,"As 4c ","7c Qh ",river,"5d 3h 2s Qc Js ",100,0,0,2,100,0,0,3
815,"Kc 8h ","6d Qd ",preflop,"",65,35,0,2,61,37,2,3
816,"Jh Ks ","As 8h ",river,"3h 8s Kc 5s 10s ",100,0,0,2,100,0,0,3
817,"4c As ","5h Jh ",flop,"Qd 9s 3c ",70,30,0,3,71,28,1,3
818,"7c 10d ","6d 2s ",turn,"5s Kd 9h Jh ",87,13,0,3,83,17,0,3
819,"2d Ac ","10s Qd ",flop,"Qc 10h 10d ",1,99,0,2,1,99,0,2
820,"8h 4c ","8s 3h ",turn,"Kc 7h 10h 7s ",6,8,86,3,6,6,88,3
821,"4s 8h ","10d 10h ",river,"9h 7c 8c Qs Ks ",0,100,0,3,0,100,0,3
822,"8d 10d ","7d Kd ",turn,"3c Qd 4d 4c ",11,87,2,3,17,74,9,3
823,"7h 9d ","7s 4s ",flop,"2s 4d Ks ",12,88,0,3,9,91,0,3
824,"9h Qc ","Jd 8c ",flop,"2c 8d 7c ",29,71,0,3,32,68,0,3
825,"10c Qc ","8h Js ",turn,"8c 4h 3h 5c ",37,63,0,3,31,69,0,3
826,"7h 5s ","4h 7c ",turn,"9h 7s 3c 10c ",22,5,73,3,10,7,83,3
827,"4s 8h ","6h 3h ",turn,"10c 6s 7c Kc ",25,75,0,3,27,73,0,3
828,"6d Ah ","2s 10c ",river,"Jh 5s 9d 9c Qs ",100,0,0,3,100,0,0,3
829,"9d 8c ","3h 7s ",river,"5d 8d 6c Kh Ah ",100,0,0,3,100,0,0,3
830,"3s 2h ","2d Ah ",flop,"4s Kc 6c ",29,67,4,2,25,73,2,3
831,"3s Js ","Jd 10d ",flop,"Ad 7s 5d ",10,84,6,3,14,73,13,3
832,"Jd 2d ","Kd Jc ",turn,"5h 4h 7d Qh ",8,92,0,3,5,95,0,3
833,"2s Kd ","10h Js ",preflop,"",48,52,0,3,46,53,1,3
834,"As 5s ","2h 8s ",preflop,"",77,22,1,3,66,33,1,3
